doi,title,author,variable,region,model,climate.scenario,value,estimation.year,unit,focus,study,publication.date
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP2,4599,2100,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP3,8173,2100,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP4,4015,2100,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,MIROC.Policy-SSP5,6336,2100,km3/year,projected,hanasaki (2012).H08.MIROC.Policy-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.baseline,3214,2000,km3/year,projected,hanasaki (2012).H08.HadGEM2.baseline,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP1,3170,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP-2,4105,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP-2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP3,5994,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP4,3663,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP5,5079,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP1,3154,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP-2,4782,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP-2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP3,8361,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP4,3946,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP4,2012
